paper_id,unique_participant_id,veracity,accuracy,scale
Lyons_2024_b,Lyons_2024_b_1_1330181216.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1330181216.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1330181216.0,fake,3,4
Lyons_2024_b,Lyons_2024_b_1_1330181216.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1330181216.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1330181216.0,fake,3,4
Lyons_2024_b,Lyons_2024_b_1_1330181216.0,true,4,4
Lyons_2024_b,Lyons_2024_b_1_1330181216.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1330181216.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1330181216.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1330181216.0,true,4,4
Lyons_2024_b,Lyons_2024_b_1_1330181216.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1330181216.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1330181216.0,true,4,4
Lyons_2024_b,Lyons_2024_b_1_1330181216.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1330181216.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1330181216.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1330181216.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1330899702.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1330899702.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1330899702.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1330899702.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1330899702.0,fake,2,4
Lyons_2024_b,Lyons_2024_b_1_1330899702.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1330899702.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1330899702.0,true,4,4
Lyons_2024_b,Lyons_2024_b_1_1330899702.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1330899702.0,true,4,4
Lyons_2024_b,Lyons_2024_b_1_1330899702.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1330899702.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1330899702.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1330899702.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1330899702.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1330899702.0,true,4,4
Lyons_2024_b,Lyons_2024_b_1_1330899702.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1330899702.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1322838436.0,fake,2,4
Lyons_2024_b,Lyons_2024_b_1_1322838436.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1322838436.0,fake,4,4
Lyons_2024_b,Lyons_2024_b_1_1322838436.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1322838436.0,fake,4,4
Lyons_2024_b,Lyons_2024_b_1_1322838436.0,fake,2,4
Lyons_2024_b,Lyons_2024_b_1_1322838436.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1322838436.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1322838436.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1322838436.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1322838436.0,true,4,4
Lyons_2024_b,Lyons_2024_b_1_1322838436.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1322838436.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1322838436.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1322838436.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1322838436.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1322838436.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1322838436.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1332107722.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1332107722.0,fake,2,4
Lyons_2024_b,Lyons_2024_b_1_1332107722.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1332107722.0,fake,3,4
Lyons_2024_b,Lyons_2024_b_1_1332107722.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1332107722.0,fake,2,4
Lyons_2024_b,Lyons_2024_b_1_1332107722.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1332107722.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1332107722.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1332107722.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1332107722.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1332107722.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1332107722.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1332107722.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1332107722.0,true,4,4
Lyons_2024_b,Lyons_2024_b_1_1332107722.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1332107722.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1332107722.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1325256582.0,fake,2,4
Lyons_2024_b,Lyons_2024_b_1_1325256582.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1325256582.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1325256582.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1325256582.0,fake,2,4
Lyons_2024_b,Lyons_2024_b_1_1325256582.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1325256582.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1325256582.0,true,4,4
Lyons_2024_b,Lyons_2024_b_1_1325256582.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1325256582.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1325256582.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1325256582.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1325256582.0,true,4,4
Lyons_2024_b,Lyons_2024_b_1_1325256582.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1325256582.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1325256582.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1325256582.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1325256582.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1332951518.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1332951518.0,fake,4,4
Lyons_2024_b,Lyons_2024_b_1_1332951518.0,fake,2,4
Lyons_2024_b,Lyons_2024_b_1_1332951518.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1332951518.0,fake,3,4
Lyons_2024_b,Lyons_2024_b_1_1332951518.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1332951518.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1332951518.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1332951518.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1332951518.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1332951518.0,true,4,4
Lyons_2024_b,Lyons_2024_b_1_1332951518.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1332951518.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1332951518.0,true,4,4
Lyons_2024_b,Lyons_2024_b_1_1332951518.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1332951518.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1332951518.0,true,4,4
Lyons_2024_b,Lyons_2024_b_1_1332951518.0,true,4,4
Lyons_2024_b,Lyons_2024_b_1_1332503598.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1332503598.0,fake,3,4
Lyons_2024_b,Lyons_2024_b_1_1332503598.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1332503598.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1332503598.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1332503598.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1332503598.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1332503598.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1332503598.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1332503598.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1332503598.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1332503598.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1332503598.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1332503598.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1332503598.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1332503598.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1332503598.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1332503598.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1336389952.0,fake,4,4
Lyons_2024_b,Lyons_2024_b_1_1336389952.0,fake,2,4
Lyons_2024_b,Lyons_2024_b_1_1336389952.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1336389952.0,fake,4,4
Lyons_2024_b,Lyons_2024_b_1_1336389952.0,fake,2,4
Lyons_2024_b,Lyons_2024_b_1_1336389952.0,fake,4,4
Lyons_2024_b,Lyons_2024_b_1_1336389952.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1336389952.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1336389952.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1336389952.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1336389952.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1336389952.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1336389952.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1336389952.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1336389952.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1336389952.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1336389952.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1336389952.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1322419020.0,fake,3,4
Lyons_2024_b,Lyons_2024_b_1_1322419020.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1322419020.0,fake,4,4
Lyons_2024_b,Lyons_2024_b_1_1322419020.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1322419020.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1322419020.0,fake,1,4
Lyons_2024_b,Lyons_2024_b_1_1322419020.0,true,1,4
Lyons_2024_b,Lyons_2024_b_1_1322419020.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1322419020.0,true,3,4
Lyons_2024_b,Lyons_2024_b_1_1322419020.0,true,4,4
Lyons_2024_b,Lyons_2024_b_1_1322419020.0,true,4,4
Lyons_2024_b,Lyons_2024_b_1_1322419020.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1322419020.0,true,2,4
Lyons_2024_b,Lyons_2024_b_1_1322419020.0,true,4,4
Lyons_2024_b,Lyons_2024_b_1_1322419020.0,true,4,4
Lyons_2024_b,Lyons_2024_b_1_1322419020.0,true,4,4
